timestamp,username,message,channel,tags,raw
2025-06-08 11:22:01,trent120,START TE THING,taylor_jevaux,"{'badge-info': '', 'badges': '', 'client-nonce': '745a342ff02b848fc265112fe86dd47f', 'color': '', 'display-name': 'trent120', 'emotes': '', 'first-msg': '0', 'flags': '', 'id': 'a95775eb-ac5a-401a-a283-acbe36c7a839', 'mod': '0', 'returning-chatter': '0', 'room-id': '469348555', 'subscriber': '0', 'tmi-sent-ts': '1749399722370', 'turbo': '0', 'user-id': '1304689400', 'user-type': ''}",@badge-info=;badges=;client-nonce=745a342ff02b848fc265112fe86dd47f;color=;display-name=trent120;emotes=;first-msg=0;flags=;id=a95775eb-ac5a-401a-a283-acbe36c7a839;mod=0;returning-chatter=0;room-id=469348555;subscriber=0;tmi-sent-ts=1749399722370;turbo=0;user-id=1304689400;user-type= :trent120!trent120@trent120.tmi.twitch.tv PRIVMSG #taylor_jevaux :START TE THING
2025-06-08 11:22:03,marci007711,why do you nothing?,taylor_jevaux,"{'badge-info': '', 'badges': '', 'client-nonce': '19cfebb9d007e969469969efb650ba73', 'color': '#00FF7F', 'display-name': 'marci007711', 'emotes': '', 'first-msg': '1', 'flags': '', 'id': '9b29bf24-b86d-44bb-b0e1-602ef2afed5a', 'mod': '0', 'returning-chatter': '0', 'room-id': '469348555', 'subscriber': '0', 'tmi-sent-ts': '1749399723436', 'turbo': '0', 'user-id': '881836765', 'user-type': ''}",@badge-info=;badges=;client-nonce=19cfebb9d007e969469969efb650ba73;color=#00FF7F;display-name=marci007711;emotes=;first-msg=1;flags=;id=9b29bf24-b86d-44bb-b0e1-602ef2afed5a;mod=0;returning-chatter=0;room-id=469348555;subscriber=0;tmi-sent-ts=1749399723436;turbo=0;user-id=881836765;user-type= :marci007711!marci007711@marci007711.tmi.twitch.tv PRIVMSG #taylor_jevaux :why do you nothing?
2025-06-08 11:22:03,bigweiner11,why are we waiting lol,taylor_jevaux,"{'badge-info': '', 'badges': '', 'color': '', 'display-name': 'bigweiner11', 'emotes': '', 'first-msg': '1', 'flags': '', 'id': 'bc3a39c3-a87e-4517-863a-e88382aa6ed2', 'mod': '0', 'returning-chatter': '0', 'room-id': '469348555', 'subscriber': '0', 'tmi-sent-ts': '1749399724138', 'turbo': '0', 'user-id': '187672862', 'user-type': ''}",@badge-info=;badges=;color=;display-name=bigweiner11;emotes=;first-msg=1;flags=;id=bc3a39c3-a87e-4517-863a-e88382aa6ed2;mod=0;returning-chatter=0;room-id=469348555;subscriber=0;tmi-sent-ts=1749399724138;turbo=0;user-id=187672862;user-type= :bigweiner11!bigweiner11@bigweiner11.tmi.twitch.tv PRIVMSG #taylor_jevaux :why are we waiting lol
2025-06-08 11:22:07,trent120,START ALRERADY NBABY,taylor_jevaux,"{'badge-info': '', 'badges': '', 'client-nonce': 'bc5f8ef9e132eeca1377af3025cb7601', 'color': '', 'display-name': 'trent120', 'emotes': '', 'first-msg': '0', 'flags': '', 'id': 'ef2531c7-0733-4906-a8bd-296734176b13', 'mod': '0', 'returning-chatter': '0', 'room-id': '469348555', 'subscriber': '0', 'tmi-sent-ts': '1749399728146', 'turbo': '0', 'user-id': '1304689400', 'user-type': ''}",@badge-info=;badges=;client-nonce=bc5f8ef9e132eeca1377af3025cb7601;color=;display-name=trent120;emotes=;first-msg=0;flags=;id=ef2531c7-0733-4906-a8bd-296734176b13;mod=0;returning-chatter=0;room-id=469348555;subscriber=0;tmi-sent-ts=1749399728146;turbo=0;user-id=1304689400;user-type= :trent120!trent120@trent120.tmi.twitch.tv PRIVMSG #taylor_jevaux :START ALRERADY NBABY
2025-06-08 11:22:08,lonevape,"On God, you're very stupid",taylor_jevaux,"{'badge-info': '', 'badges': '', 'color': '', 'display-name': 'lonevape', 'emotes': '', 'first-msg': '1', 'flags': '8-25:A.5', 'id': '0bfc490a-06af-4609-90cb-dca5a1d3142c', 'mod': '0', 'returning-chatter': '0', 'room-id': '469348555', 'subscriber': '0', 'tmi-sent-ts': '1749399729260', 'turbo': '0', 'user-id': '1244445548', 'user-type': ''}","@badge-info=;badges=;color=;display-name=lonevape;emotes=;first-msg=1;flags=8-25:A.5;id=0bfc490a-06af-4609-90cb-dca5a1d3142c;mod=0;returning-chatter=0;room-id=469348555;subscriber=0;tmi-sent-ts=1749399729260;turbo=0;user-id=1244445548;user-type= :lonevape!lonevape@lonevape.tmi.twitch.tv PRIVMSG #taylor_jevaux :On God, you're very stupid"
2025-06-08 11:22:11,radiogumm,BatChest BatChest BatChest BatChest BatChest,taylor_jevaux,"{'badge-info': 'subscriber/10', 'badges': 'subscriber/9,minecraft-15th-anniversary-celebration/1', 'color': '#FF69B4', 'display-name': 'radiogumm', 'emote-only': '1', 'emotes': '115234:0-7,9-16,18-25,27-34,36-43', 'first-msg': '0', 'flags': '', 'id': 'bd0d130f-9935-493b-8975-8de8f357e2b7', 'mod': '0', 'returning-chatter': '0', 'room-id': '469348555', 'subscriber': '1', 'tmi-sent-ts': '1749399731764', 'turbo': '0', 'user-id': '728895522', 'user-type': ''}","@badge-info=subscriber/10;badges=subscriber/9,minecraft-15th-anniversary-celebration/1;color=#FF69B4;display-name=radiogumm;emote-only=1;emotes=115234:0-7,9-16,18-25,27-34,36-43;first-msg=0;flags=;id=bd0d130f-9935-493b-8975-8de8f357e2b7;mod=0;returning-chatter=0;room-id=469348555;subscriber=1;tmi-sent-ts=1749399731764;turbo=0;user-id=728895522;user-type= :radiogumm!radiogumm@radiogumm.tmi.twitch.tv PRIVMSG #taylor_jevaux :BatChest BatChest BatChest BatChest BatChest"
2025-06-08 11:22:11,avidwatcherguy,What am I watching?,taylor_jevaux,"{'badge-info': '', 'badges': '', 'color': '', 'display-name': 'avidwatcherguy', 'emotes': '', 'first-msg': '1', 'flags': '', 'id': '1e9c07bc-86f5-42ad-8347-0ae6fc2e89b4', 'mod': '0', 'returning-chatter': '0', 'room-id': '469348555', 'subscriber': '0', 'tmi-sent-ts': '1749399731943', 'turbo': '0', 'user-id': '1206453651', 'user-type': ''}",@badge-info=;badges=;color=;display-name=avidwatcherguy;emotes=;first-msg=1;flags=;id=1e9c07bc-86f5-42ad-8347-0ae6fc2e89b4;mod=0;returning-chatter=0;room-id=469348555;subscriber=0;tmi-sent-ts=1749399731943;turbo=0;user-id=1206453651;user-type= :avidwatcherguy!avidwatcherguy@avidwatcherguy.tmi.twitch.tv PRIVMSG #taylor_jevaux :What am I watching?
2025-06-08 11:22:11,qtmali,bro hurry up,taylor_jevaux,"{'badge-info': '', 'badges': '', 'color': '', 'display-name': 'qtmali', 'emotes': '', 'first-msg': '1', 'flags': '', 'id': '8a46b630-0430-41d1-a44c-3884fa078158', 'mod': '0', 'returning-chatter': '0', 'room-id': '469348555', 'subscriber': '0', 'tmi-sent-ts': '1749399732182', 'turbo': '0', 'user-id': '1020223770', 'user-type': ''}",@badge-info=;badges=;color=;display-name=qtmali;emotes=;first-msg=1;flags=;id=8a46b630-0430-41d1-a44c-3884fa078158;mod=0;returning-chatter=0;room-id=469348555;subscriber=0;tmi-sent-ts=1749399732182;turbo=0;user-id=1020223770;user-type= :qtmali!qtmali@qtmali.tmi.twitch.tv PRIVMSG #taylor_jevaux :bro hurry up
2025-06-08 11:22:12,trent120,CMONNN,taylor_jevaux,"{'badge-info': '', 'badges': '', 'client-nonce': 'd01a9f5fd5014e47bc792f98b2f359e1', 'color': '', 'display-name': 'trent120', 'emotes': '', 'first-msg': '0', 'flags': '', 'id': '3a6869d8-98b5-46a7-ba87-2995a7b12d23', 'mod': '0', 'returning-chatter': '0', 'room-id': '469348555', 'subscriber': '0', 'tmi-sent-ts': '1749399732771', 'turbo': '0', 'user-id': '1304689400', 'user-type': ''}",@badge-info=;badges=;client-nonce=d01a9f5fd5014e47bc792f98b2f359e1;color=;display-name=trent120;emotes=;first-msg=0;flags=;id=3a6869d8-98b5-46a7-ba87-2995a7b12d23;mod=0;returning-chatter=0;room-id=469348555;subscriber=0;tmi-sent-ts=1749399732771;turbo=0;user-id=1304689400;user-type= :trent120!trent120@trent120.tmi.twitch.tv PRIVMSG #taylor_jevaux :CMONNN
2025-06-08 11:22:12,cammyronnn000,:) SSSsss SSSsss SSSsss SSSsss SSSsss SSSsss DansGame DansGame DansGame DansGame DansGame KappaPride TTours TTours TTours NotLikeThis NotLikeThis NotLikeThis ArgieB8 PansexualPride PansexualPride PansexualPride PansexualPride PansexualPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride,taylor_jevaux,"{'badge-info': '', 'badges': 'no_video/1', 'client-nonce': '9fb85c8f910a10c0500d0955a8c1b510', 'color': '#00FF7F', 'display-name': 'cammyronnn000', 'emote-only': '1', 'emotes': '1:0-1/33:45-52,54-61,63-70,72-79,81-88/58765:122-132,134-144,146-156/51838:158-164/307827370:166-179,181-194,196-209,211-224,226-239/46:3-8,10-15,17-22,24-29,31-36,38-43/55338:90-99/38436:101-106,108-113,115-120/307827321:241-248,250-257,259-266,268-275,277-284,286-293,295-302,304-311,313-320,322-329,331-338,340-347,349-356,358-365,367-374,376-383,385-392,394-401,403-410,412-419,421-428,430-437,439-446,448-455', 'first-msg': '0', 'flags': '', 'id': '3ed7e764-ae78-4ad1-be2e-ec3e4975788d', 'mod': '0', 'returning-chatter': '0', 'room-id': '469348555', 'subscriber': '0', 'tmi-sent-ts': '1749399733023', 'turbo': '0', 'user-id': '1235018671', 'user-type': ''}","@badge-info=;badges=no_video/1;client-nonce=9fb85c8f910a10c0500d0955a8c1b510;color=#00FF7F;display-name=cammyronnn000;emote-only=1;emotes=1:0-1/33:45-52,54-61,63-70,72-79,81-88/58765:122-132,134-144,146-156/51838:158-164/307827370:166-179,181-194,196-209,211-224,226-239/46:3-8,10-15,17-22,24-29,31-36,38-43/55338:90-99/38436:101-106,108-113,115-120/307827321:241-248,250-257,259-266,268-275,277-284,286-293,295-302,304-311,313-320,322-329,331-338,340-347,349-356,358-365,367-374,376-383,385-392,394-401,403-410,412-419,421-428,430-437,439-446,448-455;first-msg=0;flags=;id=3ed7e764-ae78-4ad1-be2e-ec3e4975788d;mod=0;returning-chatter=0;room-id=469348555;subscriber=0;tmi-sent-ts=1749399733023;turbo=0;user-id=1235018671;user-type= :cammyronnn000!cammyronnn000@cammyronnn000.tmi.twitch.tv PRIVMSG #taylor_jevaux ::) SSSsss SSSsss SSSsss SSSsss SSSsss SSSsss DansGame DansGame DansGame DansGame DansGame KappaPride TTours TTours TTours NotLikeThis NotLikeThis NotLikeThis ArgieB8 PansexualPride PansexualPride PansexualPride PansexualPride PansexualPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride"
